Year	Name of movie	damage part	reason	state	by	DP to No
1933	Deluge	all	deluge	submerge	water	0
1961	The Last War	all	bomb	fragment	bomb	0
1968	Planet of the Apes	body	deluge	submerge	water	2
1978	Superman	hand	collide	incomplete	human	5
1981	Escape From New York	all	deluge	incomplete & submerge	water	0
1987	Superman 4	top	collide	incomplete & fragment	human	3
1989	Ghostbuster II	all	spirit possession	complete	magic	0
1989	The Abyss	all	deluge	submerge	water	0
1995	Batman Forever	top	bomb	incomplete & fragment	fly thing	3
1996	Independence Day	all	collide	fragment	fly thing & laser	0
1998	Earthquake in New York	all	collide	fragment	shake	0
1998	Deep Impact	all	deluge	incomplete & fragment	water & shake	0
1999	Chewing-Gum	all	spirit possession	incomplete	magic	0
1999	"Aftershock,Earthquake in New York"	all	collide	incomplete & fragment	shake	0
1999	Hero	hand	collide	incomplete & fragment	sword	5
2000	X-man	head	magic	incomplete	laser	4
2001	Artificial Intelligence	all	deluge	submerge	water	0
2001	"Octopus 2,River of Fear"	body	collide	incomplete & fragment	octopus	1
2004	Godzilla Final War	all	collide	incomplete & fragment	moster	0
2004	"2012, Ice Age"	all	frozen	frozen	ice	0
2005	"Category 7, The End of the World"	hand	tornado	incomplete & fragment	tornado	5
2006	The World Sinks Except Japan	all	collide	fragment	rock	0
2008	"NYC, Tornado Terror"	all	collide	fragment	tornado	0
2008	Cloverfield	head	collide	incomplete	moster	4
2008	Lost City Raiders	all	deluge	submerge	water	0
2009	2012	all	deluge	submerge & fragment	water & shake	0
2010	Quantum Apocalypse	all	deluge	submerge & fragment	water & shake	0
2011	"2012, Ice Age"	all	frozen	frozen	ice	0
2014	"Sharknado 2,The Second One"	head	tornado	incomplete	tornado	4
2015	The Man in the High Castle	top	collide	incomplete	fire	3
2017	"Chernobyl,Zone of Exclusion"	head	collide	incomplete	human	4
2021	Spider Man-No Way Home	top	magic & collide	fragment	human	3
2023	The Wandering Earth	all	collide	fragment	rock	0
