prompt,completion
life is diffcult,🕕🕧 😔☹️😤🙅‍‍
I want to go home and sleep,🥱💭😪🏠🛌💤
I want my own lift,☹️💭🙅‍‍🪁⛸🏄🎼🎆🌠
I don't know how to write,🙅‍‍❌✍️
looking forward to tomorrow,🏃‍💨🌞
I want eat more delicious food,🤤💭🥯🥞🧇🥖🥨🧀🍳🧈🥓🥩🍗🍖🍔🥘🌮🍕🥙
my poor english,🗣❌🔠🔡
I dream about a red building,😪💤🟥🏢
I like apple,😀❤️🍎
I hate orange,😕💔🍊
there is a moon behind the cloud,🌠☁️🌛
the sky is so blue,☁️🌠🟦🟦
I love ocean,😍❤️🌊
I don't want to do homework,☹️✍️📜📜
I love my family,😍❤️👨‍👩‍👦
Where is the orange?,❓🍊
Where is the house?,❓🏠
I want water,😢💭💦💦
my ears hurt,😫👁❌‼️
I want hamberger,🤤💭🍔
so many stars in the sky,⭐️💫🌟🌟⭐️💫⭐️🌟⭐️💫🌠
what's the time,❓⌚️
I can't sleep,😫🥱❌🛌💤
I am so happy,🥳🤩🙌
I love you,😍❤️❤️
I miss my cat,😣❤️❤️💭🐱
all the train delay,🚄🚄❌⌚️
earth is my home,🌍🏠
I like red,😍❤🟥
